session_id,timestamp_start,timestamp_end,user_id,sentence
efegfefe12f2,0.00,1.92,fenfiengae,"Sukina agrees to heal Yuji."
efegfefe12f2,1.92,2.14,fenfiengae,". . ."
efegfefe12f2,2.14,4.88,fenfiengae,"He'll use reverse curse technique and bring him back to life."
efegfefe12f2,4.88,5.20,fenfiengae,". . ."
efegfefe12f2,5.20,5.70,fenfiengae,"If you recall,"
efegfefe12f2,5.70,6.14,fenfiengae,". . ."
efegfefe12f2,6.14,8.68,fenfiengae,"Yuji kicked the bucket after getting his heart ripped out of his chest."
efegfefe12f2,8.68,8.92,fenfiengae,". . ."
efegfefe12f2,8.92,9.30,fenfiengae,"In return,"
efegfefe12f2,9.30,9.68,fenfiengae,". . ."
efegfefe12f2,9.68,12.62,fenfiengae,"Yuji will give Sukina control of his body for one full minute."
efegfefe12f2,12.62,12.84,fenfiengae,". . ."
efegfefe12f2,12.84,13.02,fenfiengae,"However,"
efegfefe12f2,13.02,13.24,fenfiengae,". . ."
efegfefe12f2,13.24,14.44,fenfiengae,"there are some conditions on this."
efegfefe12f2,14.44,14.94,fenfiengae,". . ."
efegfefe12f2,14.94,15.50,fenfiengae,"First of all,"
efegfefe12f2,15.50,15.78,fenfiengae,". . ."
efegfefe12f2,15.78,18.12,fenfiengae,"Sukina gets to decide when and it's with a keyword."
efegfefe12f2,18.12,18.46,fenfiengae,". . ."
efegfefe12f2,18.46,19.58,fenfiengae,"That word is in chain."
efegfefe12f2,19.58,20.14,fenfiengae,". . ."
efegfefe12f2,20.14,20.62,fenfiengae,"Secondly,"
efegfefe12f2,20.62,20.96,fenfiengae,". . ."
efegfefe12f2,20.96,24.16,fenfiengae,"when Sukina is in control, he is not allowed to harm anyone."
efegfefe12f2,24.16,24.58,fenfiengae,". . ."
efegfefe12f2,24.58,25.00,fenfiengae,"And third,"
efegfefe12f2,25.00,25.64,fenfiengae,". . ."
efegfefe12f2,25.64,31.56,fenfiengae,"Yuji is not allowed to remember that he even made this binding vow. So now let's flash forward to the events of season two."
efegfefe12f2,31.56,31.88,fenfiengae,". . ."
efegfefe12f2,31.88,35.16,fenfiengae,"Sukina takes over Yuji's body and absolutely devastates Shibuya."
efegfefe12f2,35.16,35.64,fenfiengae,". . ."
efegfefe12f2,35.64,41.86,fenfiengae,"So I've had a lot of people ask me, doesn't this violate the terms of the binding vow shouldn't he face dire consequences for this?"
efegfefe12f2,41.86,42.34,fenfiengae,". . ."
efegfefe12f2,42.34,44.84,fenfiengae,"And the answer is no, because he didn't violate the binding vow."
efegfefe12f2,44.84,45.34,fenfiengae,". . ."
efegfefe12f2,45.34,45.60,fenfiengae,"Again,"
efegfefe12f2,45.60,45.98,fenfiengae,". . ."
efegfefe12f2,45.98,49.96,fenfiengae,"the binding vow is only enacted when Sukina chants the word in chain."
efegfefe12f2,49.96,50.26,fenfiengae,". . ."
efegfefe12f2,50.26,56.02,fenfiengae,"And then that minute will begin of him taking over Yuji and that minute is where he is not allowed to harm anyone."
